i,gender,ht
1263,1,169.4
1264,2,159.1
1265,1,173.4
1266,2,158
1267,1,173.2
1268,2,154.7
1269,1,168.1
1270,2,153.6
1271,1,168
1272,2,159.3
1273,2,153.1
1274,1,164.1
1275,1,172.7
1276,2,155
1277,1,169.8
1278,2,157.6
1279,1,173.4
1280,2,160.2
1281,1,177.5
1282,2,149.5
1283,1,168.8
1284,2,142.2
1285,1,169.4
1286,2,157.5
1287,1,167.4
1288,1,168.9
1289,1,170
1290,2,156
1291,1,175.5
1292,2,160
1293,1,165.6
1294,2,151.8
1295,2,153.7
1296,2,156.6
1297,1,166.4
1298,2,162.7
1299,2,149.5
1300,1,167.5
1301,2,147.3
1302,1,170.8
1303,1,168.9
1304,1,165
1305,2,152.6
1306,2,163.1
1307,1,173
1308,1,170.7
1309,2,144.7
1310,1,174.9
1311,2,161.2
1312,2,150.1
1313,1,161.1
1314,2,154.2
1315,1,165.2
1316,1,165.7
1317,2,148.1
1318,1,158.4
1319,2,159.8
1320,2,160.7
1321,1,170.3
1322,2,157.8
1323,1,165.5
1324,2,159.3
1325,2,161.3
1326,2,152
1327,1,172.3
1328,1,166.7
1329,2,158.7
1330,1,168.7
1331,2,157.7
1332,2,154.5
1333,2,158.3
1334,1,167.8
1335,2,153.2
1336,1,149.1
1337,2,158.1
1338,1,161.4
1339,2,146.3
1340,1,166.3
1341,1,157.4
1342,2,155.6
1343,1,151.2
1344,2,153.8
1345,1,159.8
1346,2,146.5
1347,1,164.7
1348,2,140.3
1349,2,157.7
1350,1,172
1351,2,154.6
1352,2,152.8
1353,1,158.3
1354,2,153.1
1355,1,154.5
1356,2,153.1
1357,1,168
1358,2,154.6
1359,1,170.9
1360,2,146.7
1361,1,165.5
1362,2,150.7
1363,2,148.1
1364,1,162.6
1365,2,163.6
1366,1,166.1
1367,2,162.8
1368,1,159.7
1369,1,162.4
1370,1,167.3
1371,2,156.5
1372,1,176.4
1373,2,155.8
1374,1,170.8
1375,1,172
1376,2,156.1
1377,1,165.1
1378,1,174
1379,2,163.6
1380,1,159.6
1381,2,161.1
1382,1,171.3
1383,2,155.2
1384,1,169
1385,2,160.9
1386,2,164.7
1387,1,165.1
1388,2,155.8
1389,1,170.1
1390,2,156.1
1391,1,171.2
1392,2,154.5
1393,1,170.4
1394,2,158.4
1395,1,169
1396,2,164
1397,1,169.4
1398,2,153.6
1399,2,159.6
1400,1,166.8
1401,2,163.4
1402,1,168.7
1403,2,156.9
1404,1,168.5
1405,1,172.7
1406,2,160
1407,2,159
1408,1,175
1409,2,160.1
1410,1,173.7
1411,2,155.4
1412,2,155.9
1413,1,174.3
1414,1,170
1415,2,152.5
1416,1,170.7
1417,1,174.5
1418,1,175.7
1419,2,155.8
1420,1,172.2
1421,2,151.5
1422,1,162.4
1423,2,150.9
1424,2,151.5
1425,1,168.4
1426,2,158.8
1427,1,171.7
1428,1,161.5
1429,2,168.2
1430,1,173.7
1431,2,168.8
1432,1,160.1
1433,2,162.5
1434,1,176.6
1435,1,171.4
1436,1,168.3
1437,1,163.1
1438,1,166.8
1439,2,157.4
1440,1,181.5
1441,2,160.9
1442,1,169
1443,2,157
1444,1,180
1445,2,162.2
1446,1,171.6
1447,1,175.5
1448,2,153.2
1449,1,170.1
1450,2,167.8
1451,2,157.1
1452,1,162.9
1453,2,168.7
1454,1,173.8
1455,2,162.4
1456,1,171
1457,2,156.7
1458,1,165.4
1459,2,152.3
1460,1,171.8
1461,2,154.6
1462,1,166.8
1463,2,164.1
1464,1,169.1
1465,2,155.9
1466,1,176.2
1467,1,166.4
1468,2,152.1
1469,1,167.3
1470,2,165.6
1471,1,175.7
1472,2,162.4
1473,2,153.8
1474,2,155.4
1475,1,173.2
1476,1,153.6
1477,2,151.6
1478,1,173.6
1479,1,176.8
1480,2,154.2
1481,1,174.4
1482,2,167.2
1483,1,174.3
1484,2,159.1
1485,1,162.3
1486,2,156.4
1487,1,170.4
1488,1,173.8
1489,2,154.9
1490,2,152.9
1491,1,161.3
1492,2,145.6
1493,1,175
1494,2,154.5
1495,1,162.1
1496,2,154.2
1497,1,167.8
1498,2,154.8
1499,1,177.4
1500,2,149.1
1501,1,168.3
1502,2,156.6
1503,2,158.4
1504,2,150.2
1505,1,172.4
1506,1,171.1
1507,2,159.1
1508,2,152.3
1509,1,178.1
1510,2,169.7
1511,2,160.2
1512,2,168.3
1513,1,168.5
1514,2,160.7
1515,1,170.5
1516,2,152.4
1517,1,160.9
1518,2,153
1519,1,156.8
1520,2,154.9
1521,1,168.2
1522,2,157.5
1523,2,149.1
1524,2,161.2
1525,1,176.4
1526,2,158.5
1527,2,156.6
1528,2,160.1
1529,1,170.1
1530,2,149.8
1531,1,170.8
1532,2,154.1
1533,1,166
1534,2,157.7
1535,2,153.9
1536,1,163.6
1537,2,160.4
1538,2,156.6
1539,2,165
1540,2,155.7
1541,1,171.2
1542,2,164.7
1543,1,156.8
1544,1,174.2
1545,2,146.8
1546,1,165
1547,2,163.8
1548,1,173.7
1549,2,158.9
1550,2,159.7
1551,1,172.4
1552,2,159.2
1553,1,164.1
1554,2,159
1555,2,164.1
1556,1,173.1
1557,1,168.1
1558,2,152.8
1559,1,169.1
1560,2,168.2
1561,1,169.7
1562,2,150.3
1563,2,165.1
1564,1,168.1
1565,2,155.2
1566,1,160.5
1567,2,155.9
1568,1,172
1569,2,154
1570,1,173.5
1571,1,168.7
1572,2,171.3
1573,1,168.4
1574,2,153.5
1575,1,169.1
1576,2,165.2
1577,1,164.5
1578,2,154.4
1579,1,161.2
1580,2,155.2
1581,2,164.6
1582,1,163.9
1583,2,161.1
1584,1,174.2
1585,2,157.4
1586,1,167.8
1587,2,151
1588,2,155.7
1589,2,160.3
1590,1,180.6
1591,2,164.7
1592,2,167.7
1593,1,164.8
1594,2,153.7
1595,1,173.1
1596,2,170
1597,1,167.8
1598,2,160.5
1599,1,166.7
1600,2,149.2
1601,1,173.7
1602,2,157.5
1603,1,161.4
1604,2,153
1605,1,165.9
1606,2,150.5
1607,1,173.2
1608,2,160.7
1609,1,182.7
1610,1,175.4
1611,2,155.8
1612,1,169.9
1613,2,161.8
1614,1,179
1615,2,152.3
1616,2,166.6
1617,1,170.8
1618,2,160.7
1619,1,173
1620,2,163.3
1621,1,179.1
1622,2,154.4
1623,1,170
1624,2,151.7
1625,1,172.5
1626,2,163.4
1627,1,172.8
1628,2,165
1629,1,178
1630,1,172.9
1631,2,161.4
1632,1,181.4
1633,2,160.7
1634,1,183.3
1635,1,168.1
1636,2,154.7
1637,1,158.6
1638,2,160.5
1639,1,173.1
1640,2,159.3
1641,1,171.9
1642,2,155.6
1643,1,183.9
1644,2,160.1
1645,1,168.5
1646,2,163
1647,1,171.7
1648,2,156.6
1649,1,169.8
1650,2,159.1
1651,1,167.2
1652,2,160.3
1653,1,173.5
1654,2,159.5
1655,1,171.8
1656,2,156.3
1657,1,174.9
1658,2,162.4
1659,2,152.3
1660,1,168.2
1661,2,167.5
1662,1,166.7
1663,2,150.1
1664,1,166.1
1665,2,150
1666,1,168.9
1667,2,154.7
1668,1,165.6
1669,2,169
1670,2,147.4
1671,2,156.1
1672,2,156
1673,1,178.3
1674,2,163.6
1675,2,154.8
1676,2,166.3
1677,1,175.5
1678,1,170.1
1679,2,158.3
1680,1,177.7
1681,2,159.6
1682,1,178.4
1683,2,161.8
1684,1,169.7
1685,2,155.1
1686,1,177
1687,2,159.9
1688,2,153
1689,1,168.9
1690,2,154.7
1691,2,152.8
1692,2,161.5
1693,1,168.3
1694,2,155.9
1695,2,162.5
1696,2,156.2
1697,1,172.3
1698,2,158.8
1699,1,176.5
1700,2,157.5
1701,2,163.4
1702,1,173
1703,2,153
1704,1,174
1705,1,176
1706,2,161.9
